序号,单词,音标,基本释义,详细释义,英文释义,例句,例句释义
1,the,[e?],这,这,,,
2,be,[bi],是,是,,,
3,and,[?nd],和,和,,,
4,of,[?v],的,的,,,
5,a,[?],一个,一个,,,
6,in,[?n],在,prep.在……里，在……地方，在……期间，在……方面，进入……里面，穿着……；  adj.在里面的，时髦的；  adv.在家，入，进，向里，在某地，在某种关系中,,"Stay in the car, so you don't get wet.",呆在车里，你就不会被淋湿了。
7,to,[t?],到,到,,,
8,have,[h?v],有,v.有，持有，具有；做（某事）,hold or possess something,They have a lovely daughter.,他们有一个可爱的女儿。
9,it,[?t],它,abbr. (=Information Technology)信息技术,,IT has made considerable changes to the world in 21st century.,在21世纪，信息技术极大地改变了世界。
10,I,[a?],我,我,,,
11,that,[e?t],那,那,,,
12,for,[f?(r)],为了,为了,,,
13,you,[ju],你,你,,,
14,he,[hi],他,他,,,
15,with,[w?e],和,和,,,
16,on,[?n],在,prep. 在……上；在…旁,"in or into a position covering, touching or forming part of a surface",There's a phone on the desk.,桌上有一部手机。
17,do,[du],做,做,,,
18,say,[se?],说,v.说；  n.发言权,"to speak or tell somebody something, using words",Why do you have to say it so loudly?,你为什么要说这么大声？
19,this,[e?s],这,这,,,
20,they,[ee?],他们,他们,,,
21,at,[?t],在,在,,,
22,but,[b?t],但,但,,,
23,we,[wi],我们,我们,,,
24,his,[h?z],他的,他的,,,
25,from,[fr?m],从,从,,,
26,not,[n?t],不是,不是,,,
27,by,[ba?],经过,经过,,,
28,she,[?i],她,她,,,
29,or,[?:(r)],或者,或者,,,
30,as,[?z],作为,作为,,,
31,what,[w?t],什么,什么,,,
32,go,[g??],去,v.变为,,His hair is starting to go grey.,他的头发开始变灰了。
33,their,[ee?(r)],他们的,他们的,,,
34,can,[k?n],能,能,,,
35,who,[hu:],谁,谁,,,
36,get,[ɡet],得到,v.得到，获得，赢得；  link-v.成为，变成，变得,to reach a particular state or condition; to make somebody/something/yourself reach a particular state or condition,They all get what they want.,他们都得到了他们想要的。
37,if,[?f],如果,conj. 如果，假使,"used to say that one thing can, will or might happen or be true, depending on another thing happening or being true","If it is a sunny day, I will go out.",如果这是一个晴天，我就出去玩。
38,would,[w?d],会,aux.会,used as the past form of will when reporting what somebody has said or thought,He said if he won a million dollars he would buy a house.,他说如果他挣了一百万美元，他就会买一栋房子。
39,her,[h?(r)],她,她,,,
40,all,[?:l],全部,det.全部，所有；  pron.全部；  adv.完全（地）,"(used with plural nouns. The noun may have the, this, that, my, her, his, etc. in front of it, or a number.) the whole number of","All his answers were wrong, so he got a zero.",他所有的答案都错了，所以他得了零分。
41,my,[ma?],我的,我的,,,
42,make,[me?k],制作,制作,,,
43,about,[??ba?t],关于,adv. 附近，大约，转向，左右，周围；  prep. 在附近，关于，在……周围，忙于,on the subject of somebody/something; in connection with somebody/something; used to describe the purpose or an aspect of something; busy with something; doing something,The lipstick costs about 220 yuan.,这口红的售价大约是220元。
44,know,[n??],知道,v. 知道；通晓,to have information in your mind as a result of experience or because you have learned or been told it,You always know the answer—give someone else a chance.,你总是知道答案，给其他人一个机会吧。
45,will,[w?l],将要,n.意志,used for talking about or predicting the future,"He had a strong will, believing he could win the championship.",他意志坚强，相信自己一定能够夺冠。
46,up,[?p],向上,向上,,,
47,one,[w?n],一,一,,,
48,time,[ta?m],时间,n.时间；（完成竞赛）所用的时间；  v.安排……的时间；  adj.时间的,"what is measured in minutes, hours, days, etc.",Look at the time! I'm late again! My boss is going to kill me.,看看时间！我又迟到了！我老板会杀了我的。
49,there,[ee?(r)],那里,那里,,,
50,year,[j??(r)],年,n. 年，年龄，年岁,"the period from 1 January to 31 December, that is 365 or 366 days, divided into 12 months",2020 is the Year of the Rat.,2020年是鼠年。
51,so,[s??],所以,所以,,,
52,think,[θ??k],思考,v.思考，想，思索,to have an opinion about someone or something,There are so many problems to think about.,（我们）有很多问题要思考。
53,when,[wen],什么时候,什么时候,,,
54,which,[w?t?],哪个,哪个,,,
55,them,[e?m],他们,他们,,,
56,some,[s?m],一些,pron.一些；某一,"used with uncountable nouns or plural countable nouns to mean ‘an amount of’ or ‘a number of’, when the amount or number is not given",The woman is putting some sugar in her coffee.,女人正往她的咖啡里加入一些糖。
57,me,[mi],我,我,,,
58,people,[?pi:pl],人们,n.人，人类（person的复数）,the ordinary men and women of a country rather than those who govern or have a special position in society,There are many different people in the world.,世界上有许多不同的人。
59,take,[te?k],拿,v.花费,to carry or move something from one place to another,It takes twenty-five minutes to prepare this dish.,做这道菜要花费二十五分钟。
60,out,[a?t],出去,adv.（表示不在原状态）脱离；出来,away from the inside of a place or thing; away from or not at home or their place of work; away from the edge of a place,I feel left out of the group.,我感觉被落单了。
61,into,[??nt?],进入,prep.进入，到……里面,to a position in or inside something,This sign means that you are allowed to enter into the room.,这个标志表明允许你进入这个房间。
62,just,[d??st],只是,adv.恰好,exactly,I have just enough money to pay the bills.,我的余额恰好能够支付账单。
63,see,[si:],看,v.了解，领会,,The woman did see why the man was upset.,女人了解男人为什么不高兴。
64,him,[h?m],他,他,,,
65,your,[j?:(r)],你的,你的,,,
66,come,[k?m],来,v.来，来到,to move to or towards a person or place; to arrive somewhere in order to do something or get something,This woman asked me to come with her.,这个女士让我和她一起。
67,could,[k?d],可以,aux.能,used as the past tense of ‘can’,"She could run fast when she was young, but can't now!",她年轻的时候可以跑得很快，但她现在不能了。
68,now,[na?],现在,adv.当前；立刻,(at) the present time,"Now, the time is 3:32 p.m.",当前时间为下午3:32。
69,than,[e?n],比,prep.比；  conj.比,"used for comparing amounts, numbers, distances, etc.","As you can see, I'm heavier than my little sister.",如你看到的那样，我比妹妹要重一些。
70,like,[la?k],喜欢,prep.像,"to find somebody/something pleasant, attractive or of a good enough standard; to enjoy something",He looks like his father.,他看起来像他爸爸。
